account_id,customer_id,customer_name,transaction_amount,merchant_name,city,opening_balance
1000000001,1,Customer_1,62510.10,Merchant_1,Bangalore,486337.64
1000000002,2,Customer_2,101173.31,Merchant_1,Pune,149997.57
1000000003,3,Customer_3,153274.26,Merchant_1,Mumbai,252624.05
1000000004,4,Customer_4,74579.75,Merchant_1,Pune,451095.49
1000000005,5,Customer_5,128180.91,Merchant_1,Mumbai,247576.72
1000000006,6,Customer_6,163773.42,Merchant_1,Bangalore,18095.81
1000000007,7,Customer_7,132185.81,Merchant_1,Delhi,167360.43
1000000008,8,Customer_8,45452.96,Merchant_1,Bangalore,396861.39
1000000009,9,Customer_9,193876.13,Merchant_1,Mumbai,87000.68
1000000010,10,Customer_10,83341.72,Merchant_1,Pune,351794.63
1000000011,11,Customer_11,76625.12,Merchant_1,Pune,445233.06
1000000012,12,Customer_12,169538.12,Merchant_1,Delhi,390848.18
1000000013,13,Customer_13,86761.96,Merchant_1,Delhi,432320.27
1000000014,14,Customer_14,113595.70,Merchant_1,Delhi,470359.68
1000000015,15,Customer_15,106962.49,Merchant_1,Delhi,101612.64
1000000016,16,Customer_16,198075.69,Merchant_1,Delhi,430031.17
1000000017,17,Customer_17,44977.84,Merchant_1,Pune,164331.09
1000000018,18,Customer_18,183702.67,Merchant_1,Delhi,400251.07
1000000019,19,Customer_19,187757.17,Merchant_1,Pune,94493.26
1000000020,20,Customer_20,44795.44,Merchant_1,Delhi,200569.00
1000000021,21,Customer_21,105026.31,Merchant_1,Chennai,69590.87
1000000022,22,Customer_22,48213.30,Merchant_1,Delhi,170184.18
1000000023,23,Customer_23,123320.84,Merchant_1,Pune,63767.63
1000000024,24,Customer_24,102387.20,Merchant_1,Pune,216822.32
1000000025,25,Customer_25,134216.26,Merchant_1,Bangalore,496206.29
1000000026,26,Customer_26,60320.17,Merchant_1,Chennai,13455.25
1000000027,27,Customer_27,167897.81,Merchant_1,Delhi,74382.62
1000000028,28,Customer_28,16799.88,Merchant_1,Bangalore,312201.63
1000000029,29,Customer_29,50306.11,Merchant_1,Chennai,85272.05
1000000030,30,Customer_30,91710.78,Merchant_1,Pune,413107.50
1000000031,31,Customer_31,174213.85,Merchant_1,Delhi,185974.51
1000000032,32,Customer_32,145562.53,Merchant_1,Pune,170045.38
1000000033,33,Customer_33,72450.88,Merchant_1,Bangalore,106098.64
1000000034,34,Customer_34,92730.30,Merchant_1,Chennai,250647.66
1000000035,35,Customer_35,98875.59,Merchant_1,Pune,285134.13
1000000036,36,Customer_36,52759.46,Merchant_1,Pune,119655.65
1000000037,37,Customer_37,55942.06,Merchant_1,Bangalore,210924.82
1000000038,38,Customer_38,195112.52,Merchant_1,Mumbai,144212.90
1000000039,39,Customer_39,22871.47,Merchant_1,Delhi,271013.37
